orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
981,2025-02-13,2025-03-12,Pending,928,3388.86,Cash
982,2025-03-07,,Processing,130,7307.89,Debit Card
983,2024-05-19,2024-05-24,Shipped,656,11774.72,Cash
984,2025-05-29,2025-06-17,Cancelled,237,3270.83,Cash
985,2024-05-05,,Delivered,831,2411.81,Bank Transfer
986,2024-08-09,2024-08-25,Delivered,845,5662.56,Credit Card
987,2024-05-02,2024-05-06,Cancelled,774,3182.69,PayPal
988,2025-10-30,2025-11-18,Processing,805,7154.93,PayPal
989,2025-11-09,2025-11-14,Delivered,935,3559.82,Cash
990,2025-11-20,2025-12-06,Shipped,112,10262.66,Debit Card
991,2025-07-20,2025-08-13,Delivered,47,15636.12,Debit Card
992,2024-04-16,2024-05-06,Pending,947,9862.25,Credit Card
993,2025-01-10,,Processing,388,1033.16,PayPal
994,2024-05-26,2024-06-19,Processing,235,1575.6,Cash
995,2023-12-02,2023-12-23,Shipped,292,8814.17,Cash
996,2024-02-17,2024-03-11,Shipped,987,8112.92,Credit Card
997,2025-10-21,2025-11-03,Pending,192,4546.07,Credit Card
998,2024-05-06,2024-05-13,Cancelled,860,1184.75,Bank Transfer
999,2024-04-12,2024-04-26,Cancelled,260,3252.48,Credit Card
1000,2024-02-02,2024-03-01,Processing,459,6438.46,Credit Card
1001,2025-03-17,2025-03-29,Processing,551,1426.32,Cash
1002,2025-06-26,2025-07-19,Processing,70,5651.78,Bank Transfer
1003,2024-01-24,2024-02-07,Shipped,418,7698.88,Bank Transfer
1004,2024-03-04,2024-03-17,Cancelled,681,9569.81,Debit Card
1005,2024-11-05,2024-12-04,Delivered,919,11175.3,Debit Card
1006,2024-03-10,2024-04-02,Cancelled,321,2430.52,Cash
1007,2025-04-10,2025-04-22,Shipped,262,2576.2,Bank Transfer
1008,2024-03-22,2024-04-02,Processing,649,30.35,Credit Card
1009,2024-10-25,2024-11-18,Delivered,38,3020.43,Bank Transfer
1010,2025-11-23,2025-12-14,Processing,483,6168.35,Cash
1011,2025-09-24,2025-09-27,Delivered,654,1986.08,Bank Transfer
1012,2025-04-08,2025-05-03,Processing,597,6250.33,Credit Card
1013,2024-06-01,2024-06-20,Delivered,271,185.2,Credit Card
1014,2025-08-10,2025-08-19,Delivered,725,8195.17,Debit Card
1015,2025-01-22,2025-02-21,Shipped,697,8002.48,PayPal
1016,2024-11-19,2024-12-09,Pending,67,1395.72,PayPal
1017,2025-05-10,2025-05-19,Processing,505,5459.83,Credit Card
1018,2024-05-05,2024-05-10,Delivered,889,8031.28,Debit Card
1019,2023-12-22,2024-01-12,Cancelled,779,10534.5,Debit Card
1020,2024-07-29,2024-08-07,Cancelled,652,7534.33,Bank Transfer
1021,2024-02-16,2024-03-01,Processing,516,6110.88,PayPal
1022,2024-01-16,2024-01-19,Shipped,996,10775.03,Credit Card
1023,2024-09-25,2024-10-23,Shipped,44,7148.88,Credit Card
1024,2025-07-07,2025-07-30,Shipped,757,9772.13,Debit Card
1025,2025-05-02,2025-05-25,Delivered,957,,Cash
1026,2025-09-08,2025-09-28,Shipped,897,10843.43,Bank Transfer
1027,2024-05-08,2024-05-11,Processing,645,2099.53,Cash
1028,2024-02-23,,Pending,294,362.36,PayPal
1029,2025-05-28,2025-06-17,Shipped,206,1455.39,Credit Card
1030,2025-06-18,2025-07-03,Shipped,354,3768.58,Credit Card
1031,2025-01-14,2025-02-04,Delivered,946,3994.08,Bank Transfer
1032,2024-12-17,2025-01-09,Delivered,891,8202.33,Cash
1033,2025-02-06,2025-03-06,Pending,830,12192.15,Debit Card
1034,2024-03-25,2024-04-21,Pending,237,8293.82,Debit Card
1035,2024-03-31,2024-04-07,Delivered,665,667.27,Debit Card
1036,2024-12-27,2025-01-20,Shipped,5,8013.86,PayPal
1037,2024-03-02,,Shipped,670,8657.27,Credit Card
1038,2024-09-16,2024-09-23,Processing,957,8210.32,Debit Card
1039,2024-03-17,2024-03-28,Processing,645,5778.88,Debit Card
1040,2024-11-28,2024-12-04,Shipped,385,11947.48,Credit Card
1041,2024-11-20,2024-12-08,Pending,858,1416.6,Bank Transfer
1042,2023-12-15,2024-01-08,Shipped,494,6823.21,Cash
1043,2025-10-15,2025-10-28,Delivered,648,3683.02,Debit Card
1044,2025-01-06,2025-01-14,Cancelled,698,5613.5,Credit Card
1045,2024-09-20,2024-09-26,Delivered,188,14839.32,Bank Transfer
1046,2025-03-27,2025-04-19,Processing,966,2718.0,PayPal
1047,2024-12-19,2025-01-15,Processing,971,1653.4,PayPal
1048,2024-06-08,2024-07-02,Pending,723,37.08,Cash
1049,2024-01-23,2024-02-19,Cancelled,468,13745.24,Debit Card
1050,2024-09-22,2024-10-05,Delivered,322,5530.28,Cash
1051,2024-11-18,2024-12-02,Cancelled,999,13232.34,Debit Card
1052,2025-02-17,2025-03-05,Delivered,183,9520.0,Credit Card
1053,2025-04-27,2025-05-07,Shipped,33,6644.05,Credit Card
1054,2025-08-03,2025-09-02,Shipped,185,6621.38,Credit Card
1055,2024-06-28,2024-07-10,Cancelled,176,8073.61,PayPal
1056,2024-06-26,2024-07-24,Shipped,628,10773.73,Debit Card
1057,2025-07-24,2025-08-02,Pending,815,8503.6,Cash
1058,2025-01-06,2025-01-17,Delivered,420,9906.93,Debit Card
1059,2023-12-13,2023-12-24,,143,6043.43,Debit Card
1060,2024-11-23,2024-12-19,Pending,809,4261.78,Bank Transfer
1061,2025-04-11,2025-04-15,Delivered,178,7323.33,PayPal
1062,2024-05-30,2024-06-25,Cancelled,793,,Cash
1063,2024-06-07,2024-06-27,Pending,929,11095.69,PayPal
1064,2024-10-06,2024-10-26,Cancelled,691,5878.64,Bank Transfer
1065,2024-05-11,2024-05-22,Delivered,488,2672.8,Bank Transfer
1066,2025-01-30,2025-02-22,Cancelled,734,6260.83,Cash
1067,2024-10-17,2024-10-24,Processing,649,1330.48,Credit Card
1068,2025-08-17,2025-08-27,Cancelled,258,16795.12,Bank Transfer
1069,2025-11-09,,Processing,203,,
1070,2025-08-27,,Pending,178,2896.33,PayPal
1071,2025-01-06,,Processing,401,8348.37,Bank Transfer
1072,2025-10-15,2025-11-11,Pending,404,435.15,Bank Transfer
1073,2024-08-07,2024-08-25,Pending,94,1422.48,Credit Card
1074,2024-11-06,2024-11-30,Delivered,579,5140.65,PayPal
1075,2025-04-24,2025-05-18,Pending,394,6262.79,Cash
1076,2025-02-08,2025-02-18,Delivered,630,1989.76,Cash
1077,2024-01-06,2024-01-25,Cancelled,753,14790.99,Credit Card
1078,2024-10-10,2024-10-24,Delivered,694,2422.86,Cash
1079,2025-04-17,2025-04-20,Cancelled,375,7225.43,Debit Card
1080,2024-03-25,2024-04-14,Processing,175,,Cash
1081,2025-08-06,2025-08-31,Delivered,311,8457.98,PayPal
1082,2024-11-13,2024-11-28,Processing,975,1080.69,Cash
1083,2024-11-16,2024-11-26,Delivered,742,6702.17,PayPal
1084,2025-07-24,2025-07-30,Pending,494,12409.65,Cash
1085,2024-02-11,2024-02-23,Delivered,43,12036.09,PayPal
1086,2024-05-23,2024-05-30,Pending,680,3388.63,Bank Transfer
1087,2024-05-21,2024-05-26,Pending,290,1353.24,Credit Card
1088,2024-03-22,,Shipped,618,11473.75,Bank Transfer
1089,2025-03-20,2025-04-05,Cancelled,318,7894.42,Cash
1090,2024-04-14,2024-05-04,Cancelled,172,3472.16,PayPal
1091,2024-02-28,2024-03-27,Delivered,47,14134.51,Bank Transfer
1092,2024-04-23,2024-05-02,Delivered,777,7873.73,Credit Card
1093,2024-06-26,2024-07-21,Pending,895,256.04,Debit Card
1094,2024-12-04,,Cancelled,765,9521.99,Credit Card
1095,2025-02-04,2025-02-11,Delivered,740,11039.06,Cash
1096,2025-05-18,2025-05-21,Cancelled,488,887.44,PayPal
1097,2023-12-21,2024-01-14,Shipped,163,12664.16,Cash
1098,2024-01-06,2024-01-29,Shipped,590,8904.22,Bank Transfer
1099,2024-12-24,2025-01-17,Pending,821,10973.51,Credit Card
1100,2025-04-23,,Pending,317,9785.35,PayPal
1101,2025-01-12,2025-01-31,Processing,117,12544.73,Bank Transfer
1102,2025-01-27,2025-02-15,,641,3058.55,Credit Card
1103,2024-06-09,2024-07-07,Cancelled,320,3124.02,Cash
1104,2024-03-16,2024-04-03,Cancelled,664,1256.97,Debit Card
1105,2025-02-13,,Processing,323,9439.4,PayPal
1106,2024-01-08,2024-01-25,Pending,386,5881.91,Cash
1107,2025-09-05,2025-09-10,Pending,973,,Credit Card
1108,2024-03-12,2024-03-29,Delivered,30,1053.92,Cash
1109,2024-12-17,2025-01-03,Pending,96,9354.23,PayPal
1110,2023-11-30,2023-12-30,Pending,538,2400.42,Credit Card
1111,2024-06-22,2024-07-16,Processing,214,3569.6,Cash
1112,2024-03-25,2024-04-24,Pending,931,2150.84,PayPal
1113,2024-03-18,2024-04-01,Delivered,284,2463.18,Debit Card
1114,2025-07-19,2025-08-04,Delivered,684,2446.49,Bank Transfer
1115,2024-07-12,2024-08-06,Processing,972,13378.47,PayPal
1116,2023-12-12,2024-01-01,Delivered,635,1013.48,Debit Card
1117,2025-03-07,2025-03-20,Shipped,466,1711.14,Credit Card
1118,2024-01-23,2024-02-06,Delivered,90,1121.73,Credit Card
1119,2024-09-11,2024-09-26,Processing,10,10687.23,Credit Card
1120,2025-10-20,2025-10-24,Delivered,325,49.0,Bank Transfer
1121,2025-04-23,2025-05-04,Delivered,382,1707.03,Credit Card
1122,2024-03-12,2024-03-19,Shipped,882,4693.74,Cash
1123,2025-05-16,2025-06-07,Pending,51,6277.34,Cash
1124,2024-04-30,2024-05-18,Processing,775,917.37,PayPal
1125,2024-08-29,2024-09-20,Shipped,506,3318.92,Debit Card
1126,2025-04-11,2025-04-20,Shipped,178,9845.48,Debit Card
1127,2024-12-09,2024-12-31,Pending,820,4835.7,PayPal
1128,2025-02-02,2025-02-26,Delivered,27,5383.88,Cash
1129,2025-05-16,2025-05-28,Pending,525,5460.73,Credit Card
1130,2023-12-25,,Delivered,678,2223.93,Bank Transfer
1131,2024-11-30,2024-12-26,Shipped,341,5895.98,Cash
1132,2025-08-26,2025-08-31,Delivered,985,6234.13,Credit Card
1133,2025-06-13,2025-06-20,Delivered,615,3411.55,Bank Transfer
1134,2024-01-11,2024-01-19,Shipped,993,13151.06,Bank Transfer
1135,2025-01-27,2025-01-30,Shipped,178,2506.59,Credit Card
1136,2025-02-01,,Shipped,627,3649.58,Cash
1137,2025-09-13,2025-09-25,Delivered,931,4479.7,Debit Card
1138,2024-06-05,2024-06-16,Pending,618,12690.38,PayPal
1139,2024-08-20,2024-09-13,Delivered,979,10607.45,PayPal
1140,2025-05-14,2025-05-30,Pending,725,9167.95,Credit Card
1141,2025-02-15,2025-03-08,Pending,501,12333.67,Debit Card
1142,2025-07-05,2025-07-13,Processing,592,7694.82,Cash
1143,2024-07-12,2024-08-11,Processing,74,2451.2,PayPal
1144,2025-05-09,2025-05-15,Pending,471,522.82,Bank Transfer
1145,2024-01-23,2024-02-02,Cancelled,919,10457.4,Cash
1146,2024-04-27,2024-05-15,Processing,242,10580.94,PayPal
1147,2024-02-13,2024-02-27,Delivered,713,6486.19,PayPal
1148,2024-07-11,2024-07-28,Delivered,949,521.64,PayPal
1149,2025-02-12,2025-02-22,Shipped,876,12456.25,PayPal
1150,2024-05-07,2024-05-20,Pending,446,7283.85,Credit Card
1151,2024-08-23,2024-09-01,Shipped,282,11409.77,Debit Card
1152,2024-07-18,2024-08-04,Delivered,292,5495.06,Bank Transfer
1153,2025-09-18,2025-09-29,Processing,769,9905.95,PayPal
1154,2024-03-01,,Delivered,611,13534.97,Bank Transfer
1155,2025-11-23,2025-12-02,Shipped,55,12005.21,Cash
1156,2025-05-20,2025-06-18,Processing,427,4951.9,Debit Card
1157,2024-09-02,2024-09-13,Delivered,383,7048.71,Cash
1158,2025-05-10,2025-05-27,Pending,815,3111.03,Cash
1159,2025-04-10,2025-05-09,Pending,399,1794.8,Bank Transfer
1160,2025-04-28,2025-05-19,Pending,485,13489.79,Credit Card
1161,2024-07-22,2024-07-26,Cancelled,173,8839.01,Bank Transfer
1162,2025-06-08,2025-07-06,Shipped,441,6884.07,Cash
1163,2025-07-07,2025-07-30,Shipped,759,5956.8,Debit Card
1164,2025-04-26,2025-05-22,Shipped,208,7412.99,
1165,2025-11-03,2025-11-08,Shipped,544,9098.17,Bank Transfer
1166,2024-05-03,2024-05-13,Shipped,741,5138.54,Cash
1167,2025-06-09,2025-06-26,Delivered,25,15972.13,Bank Transfer
1168,2025-10-26,2025-11-09,Shipped,966,4170.88,PayPal
1169,2024-01-09,2024-01-21,Processing,765,3739.88,PayPal
1170,2025-07-31,2025-08-25,Processing,486,8372.47,Credit Card
1171,2025-03-21,2025-03-27,Pending,223,10162.02,Debit Card
1172,2024-12-20,,Processing,511,8930.29,Debit Card
1173,2024-07-12,2024-07-19,Processing,733,8152.37,Cash
1174,2025-08-12,2025-08-29,Pending,705,10813.51,Debit Card
1175,2024-07-08,2024-07-20,Delivered,23,10503.21,Debit Card
1176,2024-07-04,2024-07-11,Processing,843,9799.36,Cash
1177,2024-11-10,2024-11-26,Delivered,320,6598.01,Bank Transfer
1178,2024-05-31,2024-06-07,Delivered,632,2947.85,Cash
1179,2024-12-21,2025-01-05,Pending,257,14180.75,Credit Card
1180,2024-08-09,2024-08-25,Pending,995,5457.12,Bank Transfer
1181,2025-05-10,2025-05-20,Pending,385,4395.96,Credit Card
1182,2024-02-10,2024-03-02,Cancelled,209,5186.1,Credit Card
1183,2025-11-24,2025-12-04,Delivered,70,6221.01,Bank Transfer
1184,2024-08-11,2024-08-23,Delivered,711,2053.7,Debit Card
1185,2025-06-16,2025-07-05,Delivered,950,8662.89,Credit Card
1186,2024-06-19,,Pending,870,1082.47,PayPal
1187,2025-07-13,2025-07-18,Shipped,164,10750.33,Cash
1188,2025-01-22,2025-01-26,Processing,475,8247.85,Bank Transfer
1189,2024-03-25,2024-04-06,Processing,909,5506.66,Cash
1190,2024-02-10,2024-02-28,Processing,244,9512.46,
1191,2025-03-29,2025-04-01,Pending,267,13232.02,PayPal
1192,2024-11-02,2024-11-18,Processing,601,10756.72,Debit Card
1193,2025-02-14,2025-02-26,Pending,897,6110.04,Cash
1194,2025-09-05,2025-09-21,Pending,704,7043.79,Bank Transfer
1195,2025-01-10,2025-02-05,Processing,871,3905.15,Bank Transfer
1196,2025-01-03,2025-01-28,Delivered,930,8441.45,Bank Transfer
1197,2024-06-25,2024-07-02,Pending,400,11481.82,Cash
1198,2024-08-05,2024-08-09,Pending,342,9446.05,Credit Card
1199,2024-04-27,2024-05-08,Shipped,512,9845.32,Bank Transfer
1200,2025-09-08,2025-10-04,Shipped,223,12432.31,Bank Transfer
1201,2025-04-05,2025-04-25,Pending,3,4238.85,PayPal
1202,2024-08-08,2024-08-30,Shipped,854,9102.4,Cash
1203,2025-04-19,2025-04-30,Shipped,174,7683.84,PayPal
1204,2025-11-18,2025-12-01,Shipped,98,12617.5,Credit Card
1205,2025-06-29,2025-07-26,Delivered,553,7795.28,PayPal
1206,2024-03-04,2024-03-20,Shipped,156,9740.0,Bank Transfer
1207,2025-08-30,2025-09-02,Cancelled,970,12251.1,PayPal
1208,2024-04-14,2024-05-07,Processing,868,9436.87,Bank Transfer
1209,2025-09-30,2025-10-18,Processing,312,5141.13,PayPal
1210,2025-09-14,2025-10-04,Pending,698,12042.89,Debit Card
1211,2024-08-12,2024-09-06,Delivered,240,15293.06,Debit Card
1212,2024-03-11,2024-03-30,Shipped,920,12070.64,Bank Transfer
1213,2025-01-04,2025-01-23,Pending,977,706.96,
1214,2024-10-19,2024-11-14,Processing,738,6913.84,Credit Card
1215,2024-10-15,2024-10-20,Shipped,313,,PayPal
1216,2025-03-18,2025-04-13,Pending,598,3384.69,PayPal
1217,2023-12-13,2023-12-26,Delivered,520,10500.69,PayPal
1218,2024-02-12,2024-02-21,Delivered,841,10515.81,PayPal
1219,2024-05-20,2024-06-07,Shipped,692,9849.69,Credit Card
1220,2025-10-31,2025-11-21,Shipped,671,1236.65,Debit Card
1221,2024-08-06,2024-08-16,Pending,121,5309.46,Bank Transfer
1222,2025-05-07,2025-05-10,Shipped,330,3600.52,Bank Transfer
1223,2025-05-02,2025-05-14,Shipped,708,6615.64,Credit Card
1224,2024-12-17,2024-12-28,Cancelled,424,2233.33,Debit Card
1225,2025-08-25,2025-09-24,Cancelled,348,2857.05,Bank Transfer
1226,2025-07-26,2025-08-04,Processing,88,5922.2,Credit Card
1227,2025-03-11,2025-03-26,Cancelled,19,3266.41,Credit Card
1228,2024-10-04,,Pending,120,8432.67,PayPal
1229,2024-06-16,2024-07-10,Processing,860,3620.7,Debit Card
1230,2023-11-29,2023-12-17,Cancelled,217,2954.28,Cash
1231,2025-07-07,2025-07-18,Delivered,720,925.24,Bank Transfer
1232,2024-01-07,2024-01-21,Processing,115,10007.98,Bank Transfer
1233,2024-03-15,2024-04-07,Pending,313,15398.66,PayPal
1234,2024-05-29,2024-06-09,Processing,631,3352.52,PayPal
1235,2024-06-08,2024-07-01,Processing,606,10083.97,PayPal
1236,2024-07-14,2024-07-31,Pending,999,4550.31,Cash
1237,2024-12-16,2024-12-29,Shipped,611,5351.94,Cash
1238,2024-08-23,2024-09-17,Delivered,58,1224.72,Debit Card
1239,2024-05-25,2024-06-08,Shipped,627,3110.73,Debit Card
1240,2024-06-29,2024-07-23,Cancelled,723,3178.67,Credit Card
1241,2023-12-04,2023-12-15,Cancelled,193,12051.61,
1242,2024-11-05,2024-11-19,Cancelled,247,3568.24,PayPal
1243,2025-04-18,2025-05-13,Processing,9,1540.93,Bank Transfer
1244,2025-03-27,2025-04-01,Processing,429,4138.83,Bank Transfer
1245,2024-12-15,2025-01-06,Delivered,450,7563.55,Debit Card
1246,2024-11-23,2024-12-07,Processing,561,5299.48,PayPal
1247,2024-05-04,2024-05-16,Shipped,352,7421.01,Debit Card
1248,2025-01-14,2025-02-05,Delivered,831,6272.42,Debit Card
1249,2024-05-16,2024-06-14,Cancelled,295,3909.39,Debit Card
1250,2025-06-07,2025-06-11,Delivered,941,2740.7,Bank Transfer
1251,2024-11-29,2024-12-15,Pending,679,4059.91,PayPal
1252,2024-05-26,2024-05-30,Shipped,981,3940.49,PayPal
1253,2025-02-16,2025-03-13,Pending,554,9805.33,Cash
1254,2023-12-18,2023-12-27,Shipped,854,3812.72,Cash
1255,2024-07-21,2024-08-03,Cancelled,151,21281.79,Credit Card
1256,2025-07-14,2025-08-09,Cancelled,260,4572.25,PayPal
1257,2025-11-11,2025-12-02,Cancelled,339,11300.95,Cash
1258,2024-12-22,2025-01-01,Delivered,200,13115.72,Debit Card
1259,2024-10-06,2024-10-21,Shipped,485,7033.67,Bank Transfer
1260,2024-10-26,2024-11-24,Delivered,908,3354.52,Debit Card
1261,2024-10-05,2024-10-25,Pending,743,4350.13,Debit Card
1262,2024-11-27,2024-11-30,Delivered,486,,PayPal
1263,2024-10-28,2024-11-22,Processing,765,7970.51,Debit Card
1264,2024-09-24,2024-10-09,Processing,983,9882.42,Bank Transfer
1265,2025-07-02,2025-07-08,Cancelled,38,6658.12,Debit Card
1266,2024-12-05,2024-12-08,Cancelled,928,155.89,PayPal
1267,2025-08-14,2025-08-31,Cancelled,171,10913.3,Debit Card
1268,2025-11-06,2025-11-18,Cancelled,7,6736.53,Bank Transfer
1269,2024-07-16,2024-08-01,Cancelled,493,9710.48,PayPal
1270,2024-03-14,2024-04-10,Processing,142,8880.4,Debit Card
1271,2023-12-18,,Shipped,169,9154.0,Credit Card
1272,2025-02-19,2025-03-14,Pending,79,512.4,Cash
1273,2024-10-21,2024-11-20,Delivered,292,8211.95,Cash
1274,2025-11-06,2025-11-18,Delivered,516,3174.19,Debit Card
1275,2025-10-22,2025-10-25,Delivered,741,5372.48,Debit Card
1276,2025-10-24,2025-11-18,Processing,243,6700.81,Cash
1277,2025-07-05,2025-07-15,Cancelled,197,,Bank Transfer
1278,2024-03-22,2024-04-08,Processing,570,6860.21,Credit Card
1279,2024-08-10,2024-09-05,Shipped,42,6366.23,Bank Transfer
1280,2025-06-29,2025-07-08,Processing,598,2084.22,Bank Transfer
1281,2024-05-30,2024-06-09,Shipped,859,9731.45,Debit Card
1282,2025-04-19,2025-05-15,Pending,596,4744.04,Bank Transfer
1283,2024-05-12,2024-05-25,Processing,91,5908.47,Bank Transfer
1284,2023-12-02,2023-12-20,Cancelled,269,1503.95,Debit Card
1285,2024-04-05,2024-04-11,Delivered,642,15194.28,Credit Card
1286,2024-09-22,2024-10-09,Delivered,886,6065.75,Bank Transfer
1287,2025-06-19,2025-06-26,Processing,165,8493.37,PayPal
1288,2025-10-27,2025-11-25,Cancelled,741,12219.87,Bank Transfer
1289,2024-01-25,2024-02-15,Delivered,871,7697.86,Bank Transfer
1290,2024-01-07,2024-01-25,Delivered,627,11210.22,Debit Card
1291,2024-09-07,2024-09-15,Delivered,721,4040.47,PayPal
1292,2025-03-03,2025-03-19,Shipped,695,7505.65,Credit Card
1293,2025-01-03,2025-01-10,Pending,537,8857.1,PayPal
1294,2025-09-26,2025-10-22,Delivered,786,7975.08,Bank Transfer
1295,2024-06-26,2024-07-03,Shipped,884,8804.16,Debit Card
1296,2024-07-12,2024-08-06,Cancelled,66,1712.12,PayPal
1297,2024-03-06,,Processing,971,80.1,Bank Transfer
1298,2025-03-04,2025-04-02,Delivered,508,3480.44,Debit Card
1299,2023-12-14,2024-01-02,Cancelled,146,12385.14,Credit Card
1300,2024-01-30,2024-02-29,Shipped,497,10882.06,Cash
1301,2023-12-07,2023-12-21,Processing,138,8540.3,PayPal
1302,2025-01-31,2025-02-03,Shipped,150,3123.86,Cash
1303,2025-08-17,2025-08-29,Cancelled,466,7025.81,Credit Card
1304,2024-03-17,2024-04-10,Shipped,816,409.62,Debit Card
1305,2025-08-07,2025-08-22,Processing,923,1093.09,PayPal
1306,2024-01-13,2024-01-25,Shipped,365,2981.74,Debit Card
1307,2024-12-11,2024-12-29,Pending,539,7797.45,Bank Transfer
1308,2024-09-26,2024-10-05,Shipped,552,473.7,Credit Card
1309,2025-08-26,2025-09-15,Cancelled,844,1288.07,Cash
1310,2025-06-11,2025-07-05,Cancelled,137,16334.52,PayPal
1311,2024-07-08,2024-07-19,Pending,776,11984.03,
1312,2025-09-01,2025-09-24,Processing,301,11509.8,Debit Card
1313,2025-08-23,2025-09-01,Pending,946,10493.13,Cash
1314,2025-10-12,2025-10-24,Pending,516,2131.69,PayPal
1315,2024-01-30,2024-02-25,Shipped,824,6830.47,Credit Card
1316,2025-07-05,2025-07-25,Cancelled,518,4686.91,PayPal
1317,2024-07-23,2024-08-14,Pending,742,9067.74,PayPal
1318,2024-04-11,2024-04-25,Delivered,863,2144.6,Bank Transfer
1319,2024-11-22,2024-11-26,Shipped,1,6198.64,Cash
1320,2025-04-08,2025-04-28,Pending,627,7339.92,Credit Card
1321,2025-10-08,2025-10-12,Shipped,933,9246.71,Debit Card
1322,2025-10-07,2025-11-03,Processing,415,9901.79,Debit Card
1323,2024-07-12,2024-08-02,Shipped,270,10963.52,Credit Card
1324,2024-12-26,2025-01-14,Shipped,982,1683.56,Debit Card
1325,2025-03-08,2025-03-31,Cancelled,55,4652.92,Bank Transfer
1326,2025-11-13,2025-12-05,Shipped,356,8881.97,PayPal
1327,2024-10-13,2024-11-03,Cancelled,222,8253.41,Cash
1328,2024-01-20,2024-02-02,Delivered,895,8021.87,Credit Card
1329,2024-09-25,2024-10-03,Pending,651,10221.88,Debit Card
1330,2024-12-13,2025-01-10,Delivered,16,6878.35,Bank Transfer
1331,2025-07-15,,Processing,723,10383.86,Debit Card
1332,2024-07-01,2024-07-22,Processing,908,3180.98,PayPal
1333,2024-03-10,2024-03-22,Processing,251,5300.18,Debit Card
1334,2025-11-16,2025-12-02,Processing,38,12021.49,Credit Card
1335,2025-11-22,2025-12-14,Pending,548,7244.56,Bank Transfer
1336,2024-11-24,2024-12-20,Pending,504,8347.05,Credit Card
1337,2024-03-03,2024-03-10,Pending,750,2480.06,Credit Card
1338,2024-12-04,2024-12-17,Cancelled,510,8131.01,PayPal
1339,2025-04-24,2025-05-18,Pending,459,1172.34,Credit Card
1340,2024-08-21,2024-09-05,Cancelled,530,2900.94,Bank Transfer
1341,2024-03-30,2024-04-03,Pending,202,7184.22,Credit Card
1342,2024-06-03,2024-06-14,Shipped,972,4511.27,Bank Transfer
1343,2025-01-26,2025-02-14,Cancelled,444,14388.01,Credit Card
1344,2025-06-28,2025-07-05,Delivered,565,747.04,Bank Transfer
1345,2025-09-26,2025-10-07,Cancelled,155,2388.27,Debit Card
1346,2024-02-14,2024-03-04,Shipped,720,10348.66,Credit Card
1347,2025-06-20,2025-07-10,Delivered,268,1840.11,Debit Card
1348,2023-12-09,2024-01-08,Delivered,852,636.89,Credit Card
1349,2024-06-28,2024-07-05,Shipped,851,3341.44,Debit Card
1350,2024-10-18,2024-10-31,Cancelled,470,7615.78,PayPal
1351,2025-06-28,2025-07-23,Processing,695,9274.96,Credit Card
1352,2024-01-06,2024-01-14,Processing,43,10065.09,
1353,2025-07-06,2025-07-16,Processing,932,14800.5,Cash
1354,2024-02-13,2024-02-27,Delivered,266,6209.83,Cash
1355,2024-10-04,2024-10-21,Processing,2,1473.98,Credit Card
1356,2024-09-11,2024-09-27,Cancelled,754,5723.16,Credit Card
1357,2025-09-06,2025-09-26,Delivered,383,1761.45,Credit Card
1358,2025-06-27,2025-07-19,Processing,866,702.16,Cash
1359,2023-12-21,2023-12-31,Cancelled,573,63.04,PayPal
1360,2024-03-05,2024-03-24,Processing,851,6602.43,Credit Card
1361,2024-06-13,2024-06-21,Cancelled,176,8076.15,Cash
1362,2024-07-03,2024-08-01,Shipped,557,5163.7,Credit Card
1363,2024-01-11,2024-01-14,Delivered,92,2289.76,Bank Transfer
1364,2025-08-26,2025-09-10,Processing,966,3076.4,Debit Card
1365,2025-05-01,2025-05-25,Cancelled,537,1716.04,Cash
1366,2025-11-19,2025-12-04,Processing,76,4089.46,Credit Card
1367,2024-11-28,2024-12-03,Delivered,624,14448.01,Credit Card
1368,2025-02-12,2025-02-24,Delivered,654,3497.7,Bank Transfer
1369,2025-10-13,2025-11-01,Cancelled,195,10723.33,PayPal
1370,2025-09-23,2025-10-13,Delivered,474,9924.13,Debit Card
1371,2025-09-23,2025-10-12,Processing,427,3887.76,Bank Transfer
1372,2025-02-19,2025-03-14,Shipped,844,7083.59,Credit Card
1373,2024-05-08,2024-05-19,Cancelled,725,2789.2,Debit Card
1374,2024-06-07,2024-06-29,Processing,572,7100.7,Credit Card
1375,2024-07-28,2024-08-21,Cancelled,856,4879.54,Bank Transfer
1376,2025-02-08,,Cancelled,335,903.0,Credit Card
1377,2024-11-19,,Shipped,474,5165.2,Credit Card
1378,2025-02-05,2025-02-18,Shipped,587,10832.17,Bank Transfer
1379,2024-05-28,2024-06-26,Processing,974,7271.29,Bank Transfer
1380,2025-09-12,2025-09-15,Delivered,790,9782.07,Credit Card
1381,2024-02-03,2024-02-22,Cancelled,705,10017.33,Debit Card
1382,2024-11-18,2024-11-22,Shipped,760,12944.16,Credit Card
1383,2025-03-17,2025-04-03,Cancelled,413,3711.03,Bank Transfer
1384,2024-03-23,2024-04-09,Shipped,143,12514.72,Bank Transfer
1385,2025-08-14,2025-09-04,Pending,259,8457.43,Credit Card
1386,2025-10-12,2025-10-21,Cancelled,797,735.5,Cash
1387,2024-09-27,2024-10-20,Shipped,528,1251.77,Cash
1388,2025-08-08,2025-08-25,Pending,942,4690.75,Credit Card
1389,2025-04-24,2025-05-14,Pending,395,9330.43,Credit Card
1390,2025-05-20,2025-06-19,Processing,460,2608.81,Bank Transfer
